,Zipcode,state,Total_4_Household Income,Total_4_Asian Amer.,Total_4_Black Amer.,Total_4_Hispanic Amer.,Total_4_White Amer.,Total_4_Other
447,08344,34,345572.0,112.0,1426.0,3270.0,21804.0,507.0
448,08345,34,278172.0,40.0,310.0,52.0,2804.0,0.0
449,08346,34,-666462532.0,20.0,1379.0,1144.0,1708.0,41.0
450,08348,34,318100.0,0.0,0.0,0.0,953.0,0.0
451,08349,34,216597.0,27.0,1828.0,282.0,7761.0,146.0
452,08350,34,333008.0,0.0,0.0,426.0,4490.0,0.0
453,08352,34,356828.0,0.0,1042.0,414.0,1700.0,196.0
454,08353,34,307159.0,49.0,2.0,77.0,1899.0,0.0
455,08360,34,238713.0,2410.0,32595.0,101990.0,139228.0,27737.0
456,08361,34,379627.0,1870.0,10581.0,16194.0,72645.0,3812.0
457,08401,34,135327.0,33070.0,71534.0,56447.0,63556.0,17494.0
458,08402,34,365608.0,380.0,690.0,610.0,29090.0,72.0
459,08403,34,572369.0,24.0,33.0,22.0,5119.0,0.0
460,08406,34,268028.0,5495.0,1982.0,11048.0,42027.0,1060.0
461,08501,34,580087.0,1720.0,1000.0,1276.0,27699.0,193.0
462,08502,34,916115.0,20961.0,1412.0,3248.0,33900.0,178.0
463,08505,34,443153.0,7210.0,8941.0,6429.0,68328.0,2183.0
464,08510,34,720534.0,793.0,904.0,2716.0,25320.0,818.0
465,08511,34,412837.0,71.0,275.0,507.0,3678.0,157.0
466,08512,34,428016.0,10917.0,3320.0,11125.0,36767.0,2301.0
467,08514,34,467946.0,475.0,834.0,1100.0,24503.0,13.0
468,08515,34,701716.0,4736.0,3104.0,2715.0,22341.0,855.0
469,08518,34,297940.0,2211.0,4163.0,1206.0,18805.0,203.0
470,08520,34,443825.0,22730.0,11340.0,31047.0,91597.0,7393.0
471,08525,34,616752.0,513.0,502.0,777.0,23172.0,55.0
472,08527,34,444910.0,9433.0,15839.0,26098.0,245616.0,3923.0
473,08530,34,471735.0,721.0,2443.0,1950.0,33362.0,543.0
474,08533,34,516869.0,271.0,793.0,2649.0,30752.0,274.0
475,08534,34,650503.0,6930.0,1932.0,3346.0,54118.0,754.0
476,08535,34,832892.0,1626.0,476.0,736.0,21243.0,113.0
477,08536,34,505190.0,55899.0,6771.0,3462.0,32284.0,2432.0
478,08540,34,674642.0,72515.0,10686.0,10865.0,150404.0,2052.0
479,08542,34,382884.0,2993.0,2863.0,5402.0,20928.0,617.0
480,08550,34,959110.0,41805.0,1728.0,3105.0,50710.0,531.0
481,08551,34,656226.0,1407.0,514.0,1375.0,23389.0,0.0
482,08553,34,549605.0,17.0,221.0,215.0,2805.0,0.0
483,08554,34,406883.0,371.0,1816.0,1564.0,16299.0,223.0
484,08555,34,466052.0,99.0,173.0,157.0,3545.0,71.0
485,08558,34,974409.0,6819.0,944.0,1349.0,28212.0,111.0
486,08559,34,575443.0,59.0,23.0,917.0,25521.0,113.0
487,08560,34,566504.0,583.0,1435.0,516.0,15945.0,153.0
488,08561,34,-1999749012.0,279.0,366.0,0.0,355.0,0.0
489,08562,34,314744.0,700.0,3089.0,2997.0,17594.0,675.0
490,08608,34,76726.0,4.0,2906.0,765.0,686.0,519.0
491,08609,34,156465.0,1663.0,34364.0,23686.0,23817.0,4810.0
492,08610,34,302170.0,4310.0,29119.0,40684.0,105339.0,9338.0
493,08611,34,183151.0,2314.0,34121.0,78436.0,76819.0,15920.0
494,08618,34,210250.0,5113.0,123862.0,21396.0,62345.0,4395.0
495,08619,34,373885.0,6263.0,9306.0,11826.0,86870.0,3240.0
496,08620,34,454581.0,2066.0,5707.0,4455.0,53390.0,651.0
497,08628,34,449715.0,2813.0,8651.0,2380.0,33820.0,480.0
498,08629,34,296171.0,1880.0,28776.0,25921.0,31666.0,4251.0
499,08638,34,267567.0,2105.0,47535.0,19592.0,57597.0,3729.0
500,08640,34,307386.0,651.0,12805.0,9373.0,20677.0,2231.0
501,08641,34,292324.0,759.0,3452.0,4912.0,14811.0,1207.0
502,08648,34,477886.0,25067.0,19190.0,13730.0,109116.0,2717.0
503,08690,34,496442.0,5766.0,4455.0,4998.0,82711.0,242.0
504,08691,34,608081.0,11212.0,2623.0,3691.0,64036.0,936.0
505,08701,34,229786.0,4498.0,17643.0,75189.0,453527.0,17225.0
506,08720,34,583466.0,4.0,63.0,22.0,4325.0,10.0
507,08721,34,399508.0,2150.0,1930.0,8887.0,96231.0,2201.0
508,08722,34,369685.0,401.0,1264.0,4451.0,52340.0,730.0
509,08723,34,354789.0,3771.0,3555.0,17355.0,145926.0,5646.0
510,08724,34,385411.0,3539.0,4426.0,17195.0,192856.0,3284.0
511,08730,34,662043.0,97.0,532.0,919.0,22520.0,384.0
512,08731,34,377265.0,1329.0,837.0,6162.0,96525.0,932.0
513,08732,34,439214.0,58.0,65.0,213.0,6407.0,0.0
514,08733,34,317986.0,523.0,974.0,1852.0,11341.0,578.0
515,08734,34,417941.0,32.0,243.0,976.0,41642.0,43.0
516,08735,34,345444.0,51.0,22.0,577.0,17871.0,0.0
517,08736,34,566801.0,1784.0,259.0,2702.0,61751.0,137.0
518,08738,34,462020.0,161.0,54.0,106.0,5049.0,12.0
519,08740,34,312175.0,28.0,338.0,661.0,9019.0,0.0
520,08741,34,455873.0,123.0,208.0,731.0,12521.0,78.0
521,08742,34,456782.0,453.0,522.0,6878.0,118248.0,1188.0
522,08750,34,592490.0,20.0,10.0,290.0,15780.0,122.0
523,08751,34,281746.0,323.0,372.0,4960.0,17885.0,2528.0
524,08752,34,341865.0,16.0,72.0,241.0,10914.0,94.0
525,08753,34,386317.0,10154.0,8599.0,29030.0,281650.0,7231.0
526,08755,34,351322.0,8306.0,5541.0,11375.0,110766.0,2207.0
527,08757,34,208824.0,2511.0,8440.0,15475.0,149051.0,3465.0
528,08758,34,334318.0,0.0,167.0,994.0,37562.0,2.0
529,08759,34,189455.0,3339.0,7353.0,6341.0,150377.0,789.0
530,08801,34,602072.0,2028.0,7702.0,5120.0,31711.0,1836.0
531,08802,34,617583.0,517.0,27.0,735.0,19811.0,54.0
532,08804,34,441890.0,92.0,123.0,447.0,11897.0,88.0
533,08805,34,348004.0,1882.0,2789.0,26121.0,50081.0,4560.0
534,08807,34,607160.0,46581.0,5770.0,19244.0,133459.0,4772.0
535,08808,34,-1333113475.0,0.0,0.0,0.0,362.0,0.0
536,08809,34,488919.0,2395.0,2477.0,2295.0,24342.0,320.0
537,08810,34,639298.0,22197.0,5200.0,3732.0,15692.0,1376.0
538,08812,34,477852.0,11022.0,7045.0,15355.0,46704.0,5973.0
539,08816,34,529312.0,59764.0,10410.0,19392.0,155171.0,3700.0
540,08817,34,437902.0,87368.0,19307.0,28207.0,97363.0,13035.0
541,08820,34,610794.0,131164.0,7426.0,9266.0,52238.0,2193.0
542,08821,34,298030.0,85.0,143.0,179.0,1506.0,0.0
543,08822,34,538991.0,9151.0,2910.0,14589.0,136006.0,3345.0
544,08823,34,517676.0,16361.0,11243.0,4243.0,15445.0,1684.0
545,08824,34,656909.0,21195.0,4637.0,5811.0,34414.0,738.0
546,08825,34,524111.0,429.0,107.0,524.0,21135.0,145.0
547,08826,34,496088.0,529.0,481.0,1346.0,24446.0,219.0
548,08827,34,535172.0,371.0,168.0,1318.0,20211.0,185.0
549,08828,34,405476.0,772.0,537.0,1466.0,9996.0,278.0
550,08829,34,452853.0,322.0,483.0,1553.0,16886.0,20.0
551,08830,34,442182.0,48673.0,6973.0,6159.0,31872.0,1498.0
552,08831,34,394146.0,42489.0,10887.0,16255.0,189310.0,1376.0
553,08832,34,281520.0,674.0,1427.0,8410.0,8216.0,1932.0
554,08833,34,676188.0,1254.0,209.0,1800.0,39768.0,52.0
555,08835,34,336036.0,1210.0,2519.0,11851.0,44858.0,2683.0
556,08836,34,761933.0,2987.0,293.0,1792.0,15621.0,14.0
557,08837,34,402712.0,27723.0,9667.0,11454.0,39831.0,3313.0
558,08840,34,587868.0,15286.0,5058.0,6678.0,58268.0,1325.0
559,08844,34,603851.0,33126.0,9800.0,14754.0,147244.0,2655.0
560,08846,34,381707.0,4811.0,5879.0,15483.0,48610.0,7055.0
561,08848,34,499900.0,122.0,153.0,1044.0,41301.0,7.0
562,08850,34,532688.0,3131.0,1079.0,4702.0,37931.0,219.0
563,08852,34,515764.0,41142.0,9564.0,3702.0,36316.0,1435.0
564,08853,34,672406.0,2692.0,2684.0,1189.0,20445.0,177.0
565,08854,34,460923.0,106903.0,57431.0,34487.0,104402.0,7341.0
566,08857,34,456756.0,27206.0,11670.0,24774.0,155781.0,3597.0
567,08858,34,-3333333330.0,0.0,0.0,0.0,605.0,0.0
568,08859,34,407217.0,20352.0,11444.0,17120.0,72642.0,2878.0
569,08861,34,254498.0,4541.0,21214.0,215063.0,214909.0,24292.0
570,08863,34,429603.0,11379.0,6860.0,14735.0,39506.0,3427.0
571,08865,34,308265.0,3158.0,10654.0,14047.0,123879.0,3373.0
572,08867,34,633274.0,800.0,215.0,765.0,24718.0,7.0
573,08869,34,383548.0,6000.0,928.0,6969.0,28688.0,1492.0
574,08872,34,382496.0,15955.0,17538.0,12546.0,65021.0,1238.0
575,08873,34,446611.0,51064.0,77881.0,39445.0,123218.0,7567.0
576,08876,34,461418.0,11340.0,7626.0,16028.0,87042.0,3035.0
577,08879,34,350536.0,11172.0,9364.0,18798.0,89247.0,3299.0
578,08880,34,399816.0,2359.0,2414.0,7176.0,15649.0,1072.0
579,08882,34,336827.0,3672.0,5977.0,19783.0,64075.0,4021.0
580,08884,34,380719.0,1454.0,1514.0,4358.0,37419.0,571.0
