,Name,Household Income,Asian American,Black American,Hispanic American,White American,Other,state,Zip Code
15154,ZCTA5 07803,91429.0,270.0,95.0,659.0,3140.0,49.0,34,07803
15155,ZCTA5 07820,-666666666.0,0.0,0.0,8.0,34.0,5.0,34,07820
15156,ZCTA5 07821,107579.0,131.0,26.0,616.0,9043.0,166.0,34,07821
15157,ZCTA5 07822,69688.0,83.0,0.0,0.0,505.0,0.0,34,07822
15158,ZCTA5 07823,54508.0,126.0,93.0,221.0,7435.0,15.0,34,07823
15159,ZCTA5 07825,89464.0,61.0,128.0,459.0,9033.0,54.0,34,07825
15160,ZCTA5 07826,80227.0,71.0,46.0,260.0,5793.0,3.0,34,07826
15161,ZCTA5 07827,66313.0,46.0,68.0,207.0,3824.0,9.0,34,07827
15162,ZCTA5 07828,77021.0,1029.0,865.0,2523.0,12432.0,306.0,34,07828
15163,ZCTA5 07830,136544.0,311.0,42.0,88.0,6498.0,0.0,34,07830
15164,ZCTA5 07832,86705.0,97.0,44.0,351.0,3664.0,0.0,34,07832
15165,ZCTA5 07833,-666666666.0,0.0,1.0,0.0,115.0,0.0,34,07833
15166,ZCTA5 07834,109088.0,1498.0,323.0,1262.0,15727.0,162.0,34,07834
15167,ZCTA5 07836,105357.0,826.0,495.0,1571.0,10052.0,530.0,34,07836
15168,ZCTA5 07838,100556.0,113.0,48.0,108.0,3330.0,15.0,34,07838
15169,ZCTA5 07840,75516.0,2329.0,1349.0,3528.0,24807.0,1070.0,34,07840
15170,ZCTA5 07842,96389.0,0.0,0.0,10.0,61.0,10.0,34,07842
15171,ZCTA5 07843,76802.0,288.0,284.0,1463.0,10982.0,344.0,34,07843
15172,ZCTA5 07846,202875.0,0.0,0.0,41.0,58.0,0.0,34,07846
15173,ZCTA5 07847,105852.0,31.0,92.0,287.0,1267.0,173.0,34,07847
15174,ZCTA5 07848,83555.0,100.0,174.0,279.0,4483.0,1.0,34,07848
15175,ZCTA5 07849,92134.0,833.0,103.0,587.0,8246.0,22.0,34,07849
15176,ZCTA5 07850,88079.0,103.0,215.0,820.0,5491.0,259.0,34,07850
15177,ZCTA5 07851,69688.0,0.0,36.0,0.0,48.0,0.0,34,07851
15178,ZCTA5 07852,96422.0,530.0,289.0,428.0,3354.0,0.0,34,07852
15179,ZCTA5 07853,149100.0,444.0,115.0,474.0,12444.0,25.0,34,07853
15180,ZCTA5 07856,85167.0,191.0,246.0,340.0,3793.0,62.0,34,07856
15181,ZCTA5 07857,53424.0,120.0,183.0,529.0,2869.0,18.0,34,07857
